name,value
知识库列表,20
帮助中心,16
上下文语境/上下文语境使用场景,13
任务管理/任务新建发布流程,10
上下文语境/上下文语境配置教程,10
知识库列表/如何创建一个高质量的知识点,9
知识点学习/知识点学习教程,9
新手引导,8
知识点学习,8
xbot,8
任务管理,7
数据看板,7
知识库列表/创建-发布知识点教程,7
产品v3-0升级动态,7
实体管理/实体的作用是什么,6
数据看板/数据统计指标说明,6
机器人设置/转人工时如何指定优先技能组,5
智能运营/智能运营的作用,5
知识点学习/知识发现中未知问题的问题源是什么,5
任务管理/任务组件功能说明,5
上下文语境,5
机器人设置,5
知识库列表/导入知识点需要注意哪些事项,4
任务管理/如何在任务中关联知识库问题,4
停用词管理,4
数据看板/热点知识监控是干嘛的，有什么用处,4
知识库列表/一问多答使用教程,4
专有词管理,4
产品动态-2,4
知识点学习/智能学习和全量学习有什么区别,4
任务管理/如何实现任务流程之间的相互跳转,4
同义词管理/同义词的作用是什么,4
知识库列表/如何调整关联的知识点显示顺序,4
知识点学习/如何学习推荐问题,4
产品v2-7升级动态,4
常见问题/为什么上传不了视频,4
实体管理/直接添加和正则添加的区别在哪,4
任务管理/什么叫多场景自由切换,4
知识点学习/未知问题中的永久忽略作用是什么,4
任务管理/如何通过任务统计查看任务执行情况,4
任务管理/任务轮次限制的作用和使用教程,4
同义词管理,4
机器人设置/如何正确设置您的机器人,3
成员设置/平台角色账号类型及其登陆方式,3
机器人设置/常见问题配置教程,3
智能运营,3
高级设置/什么是问答阈值？它设置的作用是什么,3
任务管理/任务导入导出教程,3
任务管理/语义触发和正则触发的区别,3
首页,3
同义词管理/添加同义词教程,3
实体管理,3
实体管理/系统内置的实体类型有哪些,3
专有词管理/专有词的作用是什么,3
知识点学习/如何标注未知问题-推荐问题为任务触发语,3
智能运营/什么是用户画像？,3
实体管理/正则表达式命名规则,3
任务管理/如何在任务流程中进行转人工处理,3
常见问题,3
机器人设置/触发器,3
上下文语境/上下文语境只能支持收集一个实体吗,3
机器人设置/公众号、小程序和微博常见问题推荐说明,3
知识库列表/知识库答案中转人工,2
知识库列表/相似问法有数量限制吗,2
知识点挖掘/知识点挖掘教程,2
专有词管理/添加专有词教程,2
实体管理/常用正则表达式,2
数据看板/如何查看已接入的会话数,2
知识点挖掘/聊天记录导入注意事项,2
x-bot用户运营指南,2
知识点挖掘,2
基础教程,2
机器人设置/什么是底部菜单，如何配置,2
停用词管理/停用词添加教程,2
任务管理/任务流程连续回复是什么？有什么作用,2
知识库列表/知识点如何按分类进行批量删除,2
成员设置/成员账号的密码如何获取,2
智能运营/什么是用户标签？,2
机器人设置/任务自动触发的作用和配置教程,2
高级设置,2
任务管理/接口节点和函数节点的区别,2
知识库列表/寒暄类的作用,2
知识库列表/分类批量上下架,1
首页/什么时候需要点击训练按钮,1
知识库列表/微信端机器人答案怎么配置小程序链接,1
基础教程/机器人如何扣减词条,1
知识库列表/知识点语义匹配和正则匹配区别,1
成员设置/管理员和普通用户的角色区别,1
机器人设置/繁体识别功能说明,1
视频教程,1
机器人设置/自定义转人工的作用和配置教程,1
高级设置/模型问答是什么？如何正确使用？,1
基础教程/开启会话设置,1
产品v2-6升级动态,1
机器人设置/引导语配置注意事项,1
知识库列表/微信端答案类型如何添加小程序卡片,1
基础教程/机器人场景化转人工设置,1
数据看板/如何查看各个成员维护知识库的情况,1
成员设置,1
高级设置/模型问答为什么可以提高我们的识别准,1
核心功能之《问答双引擎》,1
话务辅助/话务知识库,1
高级教程,1
产品文章,1
知识库列表/答案中插入电话号码,1
产品v1-8升级动态,1
知识库列表/知识点支持语义-正则匹配双模式（仅高级版）,1
话务辅助,1
首页/视频教学产品技巧,1
知识库列表/机器人答案插入视频,1
成员设置/将机器人分配给不同成员管理教程,1
停用词管理/停用词是什么,1
常见问题/如何配置小程序链接及卡片,1
机器人设置/如何自定义符号回复话术,1
